Pocket Set	Molecule name	Average docking ranking	# of heavy atoms
AF2-PD	Life Chemicals F0566-0293	68.5425128873983	29
AF2-PD	EMC Microcollections 001A3586	57.51186261722874	30
AF2-PD	Chem T&I AMSACS-01505	61.897801378796345	25
AF2-PD	Chem T&I ARAK0118211	69.69694428917458	26
AF2-PD	Chembridge 7634772	58.80094404074281	30
AF2-PD	Chem T&I IVK/0000805	57.23523383640768	25
AF2-PD	InterBioScreen STOCK5S-68320	72.18340475746848	29
AF2-PD	InterBioScreen STOCK3S-83770	51.95503384882927	29
AF2-PD	Life Chemicals F0529-0304	70.58406310167071	24
AF2-PD	Chem T&I AMSACS-12205	51.749984473014095	25
AF2-PD	Nanosyn NS40942	60.36134401589963	27
AF2-PD	Comgenex CGX-3127127	61.445345009626735	29
AF2-PD	Pharmeks PHAR059863	72.03757530588162	24
AF2-PD	Lithuania 1050567	43.6774113409105	27
AF2-PD	Chem T&I AMCLME-04601	57.96413266256754	27
AF2-PD	InterBioScreen STOCK4S-52524	47.97152350785665	31
AF2-PD	Cerep CER0136666	80.23324638221229	28
AF2-PD	Asinex BAS 02903336	66.37547357307	30
AF2-PD	Life Chemicals F0417-0114	60.29088255387864	27
AF2-PD	Life Chemicals F1359-1195	70.36078504440718	27
AF2-PD	Pyxis Discovery PYX 00003417	46.698062232159494	32
AF2-PD	Asinex ASN 09961559	48.13440158996335	27
AF2-PD	Pyxis Discovery PYX 00004219	67.8619340413639	30
AF2-PD	Asinex ASN 03271999	88.76352400472021	28
AF2-PD	InterBioScreen STOCK4S-65808	91.0560524191044	23
AF2-PD	Life Chemicals F0579-0521	58.003384882926525	29
AF2-PD	Chem T&I UZI/1102918	60.38724302838333	26
AF2-PD	Asinex ASN 06916822	51.97205142537731	29
AF2-PD	Asinex ASN 04361294	63.38305074218992	25
AF2-PD	Tripos 1557-10610	89.33171852679958	24
AF2-PD	Maybridge ML 00307	64.39075212719708	20
AF2-PD	Bionet 10X-0864	63.460281970063974	24
