Pocket Set	Cosine distance threshold	# of artificially included outlier values	Mean proportion (%)	Min proportion (%)	Max proportion (%)	Standard Deviation (%)
PDB-LIG	0.15	114	100.0	100.0	100.0	0.0
PDB-LIG	0.15	115	100.0	100.0	100.0	0.0
PDB-LIG	0.15	116	100.0	100.0	100.0	0.0
PDB-LIG	0.15	117	100.0	100.0	100.0	0.0
PDB-LIG	0.15	118	100.0	100.0	100.0	0.0
PDB-LIG	0.15	119	100.0	100.0	100.0	0.0
PDB-LIG	0.15	120	100.0	100.0	100.0	0.0
PDB-LIG	0.15	121	100.0	100.0	100.0	0.0
PDB-LIG	0.15	122	100.0	100.0	100.0	0.0
PDB-LIG	0.15	123	100.0	100.0	100.0	0.0
PDB-LIG	0.15	124	100.0	100.0	100.0	0.0
PDB-LIG	0.15	125	100.0	100.0	100.0	0.0
PDB-LIG	0.15	126	100.0	100.0	100.0	0.0
PDB-LIG	0.15	127	100.0	100.0	100.0	0.0
PDB-LIG	0.17	0	0.2343	0.212	0.259	0.015843295111813076
PDB-LIG	0.17	1	0.25980000000000003	0.231	0.28600000000000003	0.016851112722903495
PDB-LIG	0.17	2	0.2606	0.22999999999999998	0.295	0.02012063617284503
PDB-LIG	0.17	3	0.24849999999999997	0.211	0.281	0.020313788420676236
PDB-LIG	0.17	4	0.2284	0.188	0.262	0.019016834647227705
PDB-LIG	0.17	5	0.2072	0.17600000000000002	0.231	0.017063411147833246
PDB-LIG	0.17	6	0.1781	0.14400000000000002	0.198	0.016090059042775447
PDB-LIG	0.17	7	0.1628	0.131	0.186	0.01611707169432463
PDB-LIG	0.17	8	0.1361	0.11499999999999999	0.164	0.013464397498588637
PDB-LIG	0.17	9	0.1196	0.105	0.132	0.007964923100695952
PDB-LIG	0.17	10	0.0986	0.078	0.11499999999999999	0.011271202242884295
PDB-LIG	0.17	11	0.0865	0.073	0.105	0.008452810183601665
PDB-LIG	0.17	12	0.06889999999999999	0.055999999999999994	0.08099999999999999	0.0082516664983505
PDB-LIG	0.17	13	0.057499999999999996	0.042	0.074	0.010800462953040485
PDB-LIG	0.17	14	0.043800000000000006	0.034	0.06	0.007025667228100117
PDB-LIG	0.17	15	0.0349	0.027	0.046	0.005593746508378799
PDB-LIG	0.17	16	0.0283	0.02	0.038	0.0054781383699209355
