Name	SMILES	InChI	InChIKey	Molecular Weight
Schrodinger_fragment_401	CN1C[C@@H]2N(C)CCC[N@H+]2CC1=O	InChI=1S/C9H17N3O/c1-10-4-3-5-12-7-9(13)11(2)6-8(10)12/h8H,3-7H2,1-2H3/p+1/t8-/m1/s1	JOCPCMZUIOZPLT-MRVPVSSYSA-O	184.263
Schrodinger_fragment_394	C[N@H+]1CCCN2CC(=O)NC[C@H]21	InChI=1S/C8H15N3O/c1-10-3-2-4-11-6-7(12)9-5-8(10)11/h8H,2-6H2,1H3,(H,9,12)/p+1/t8-/m0/s1	VXCAQXFQANYBOR-QMMMGPOBSA-O	170.23600000000002
Schrodinger_fragment_240	O=C1C[C@H]2N1C=CCS2(=O)=O	InChI=1S/C6H7NO3S/c8-5-4-6-7(5)2-1-3-11(6,9)10/h1-2,6H,3-4H2/t6-/m0/s1	HYZBHRXROVBAKQ-LURJTMIESA-N	173.19299999999998
Schrodinger_fragment_400_a	CN1C[C@H]2N(C)CCC[N@@H+]2CC1=O	InChI=1S/C9H17N3O/c1-10-4-3-5-12-7-9(13)11(2)6-8(10)12/h8H,3-7H2,1-2H3/p+1/t8-/m0/s1	JOCPCMZUIOZPLT-QMMMGPOBSA-O	184.263
Schrodinger_fragment_214_a	Cn1c([O-])nccc1=O	InChI=1S/C5H6N2O2/c1-7-4(8)2-3-6-5(7)9/h2-3H,1H3,(H,6,9)/p-1	VPLZGVOSFFCKFC-UHFFFAOYSA-M	125.10699999999999
Schrodinger_fragment_106	c1ccc2c(c1)C[NH2+]C2	InChI=1S/C8H9N/c1-2-4-8-6-9-5-7(8)3-1/h1-4,9H,5-6H2/p+1	GWVMLCQWXVFZCN-UHFFFAOYSA-O	120.17500000000003
Schrodinger_fragment_321	C1C[C@@H]2CC[C@H](C1)[NH2+]2	InChI=1S/C7H13N/c1-2-6-4-5-7(3-1)8-6/h6-8H,1-5H2/p+1/t6-,7+	DGGKXQQCVPAUEA-KNVOCYPGSA-O	112.19600000000003
Schrodinger_fragment_256	CN1CC[C@]2(CCC[N@@H+]2C)C1=O	InChI=1S/C9H16N2O/c1-10-7-5-9(8(10)12)4-3-6-11(9)2/h3-7H2,1-2H3/p+1/t9-/m1/s1	SEUYLPMIUZZDAT-SECBINFHSA-O	169.24800000000002
Schrodinger_fragment_257	CN1CC[C@]2(CCC[N@H+]2C)C1=O	InChI=1S/C9H16N2O/c1-10-7-5-9(8(10)12)4-3-6-11(9)2/h3-7H2,1-2H3/p+1/t9-/m1/s1	SEUYLPMIUZZDAT-SECBINFHSA-O	169.24800000000002
Schrodinger_fragment_278	C[N@@H+]1CC(=O)N2CCC[C@H]2C1	InChI=1S/C8H14N2O/c1-9-5-7-3-2-4-10(7)8(11)6-9/h7H,2-6H2,1H3/p+1/t7-/m0/s1	HVFCTJUBOVZANZ-ZETCQYMHSA-O	155.221
Schrodinger_fragment_239	O=C1C[C@@H]2N1C=CCS2(=O)=O	InChI=1S/C6H7NO3S/c8-5-4-6-7(5)2-1-3-11(6,9)10/h1-2,6H,3-4H2/t6-/m1/s1	HYZBHRXROVBAKQ-ZCFIWIBFSA-N	173.19299999999998
Schrodinger_fragment_213_b	O=c1ccnc([O-])[nH]1	InChI=1S/C4H4N2O2/c7-3-1-2-5-4(8)6-3/h1-2H,(H2,5,6,7,8)/p-1	ISAKRJDGNUQOIC-UHFFFAOYSA-M	111.07999999999998
Schrodinger_fragment_243	CN1C(=O)C[C@@H]2[C@@H]1CC[N@@H+]2C	InChI=1S/C8H14N2O/c1-9-4-3-6-7(9)5-8(11)10(6)2/h6-7H,3-5H2,1-2H3/p+1/t6-,7+/m0/s1	QHKFDHCUVWBEDI-NKWVEPMBSA-O	155.221
Schrodinger_fragment_137_b	c1cnc2nc[n-]c2c1	InChI=1S/C6H4N3/c1-2-5-6(7-3-1)9-4-8-5/h1-4H/q-1	OXWVPCBMMWQKCE-UHFFFAOYSA-N	118.11899999999999
Schrodinger_fragment_51	CS(=O)(=O)c1ccccc1	InChI=1S/C7H8O2S/c1-10(8,9)7-5-3-2-4-6-7/h2-6H,1H3	JCDWETOKTFWTHA-UHFFFAOYSA-N	156.206
Schrodinger_fragment_413	Cn1c(=O)c2cccnc2n(C)c1=O	InChI=1S/C9H9N3O2/c1-11-7-6(4-3-5-10-7)8(13)12(2)9(11)14/h3-5H,1-2H3	MZEAQWYCKAAGJE-UHFFFAOYSA-N	191.18999999999997
