Name	SMILES	InChI	InChIKey	Molecular Weight
Schrodinger_fragment_87	C1=[NH+]CCN1	InChI=1S/C3H6N2/c1-2-5-3-4-1/h3H,1-2H2,(H,4,5)/p+1	MTNDZQHUAFNZQY-UHFFFAOYSA-O	71.103
Schrodinger_fragment_88	CNC1=[NH+]CCN1	InChI=1S/C4H9N3/c1-5-4-6-2-3-7-4/h2-3H2,1H3,(H2,5,6,7)/p+1	RBFIHIRGOXGJIG-UHFFFAOYSA-O	100.145
Schrodinger_fragment_89	c1cnsn1	InChI=1S/C2H2N2S/c1-2-4-5-3-1/h1-2H	UDGKZGLPXCRRAM-UHFFFAOYSA-N	86.119
Schrodinger_fragment_90	c1nncs1	InChI=1S/C2H2N2S/c1-3-4-2-5-1/h1-2H	MBIZXFATKUQOOA-UHFFFAOYSA-N	86.11899999999999
Schrodinger_fragment_91	c1ncon1	InChI=1S/C2H2N2O/c1-3-2-5-4-1/h1-2H	BBVIDBNAYOIXOE-UHFFFAOYSA-N	70.051
Schrodinger_fragment_92	c1cnon1	InChI=1S/C2H2N2O/c1-2-4-5-3-1/h1-2H	JKFAIQOWCVVSKC-UHFFFAOYSA-N	70.051
Schrodinger_fragment_93	c1ccc2occc2c1	InChI=1S/C8H6O/c1-2-4-8-7(3-1)5-6-9-8/h1-6H	IANQTJSKSUMEQM-UHFFFAOYSA-N	118.13499999999996
Schrodinger_fragment_94	c1ccc2sccc2c1	InChI=1S/C8H6S/c1-2-4-8-7(3-1)5-6-9-8/h1-6H	FCEHBMOGCRZNNI-UHFFFAOYSA-N	134.203
Schrodinger_fragment_95	c1ccc2[nH]ccc2c1	InChI=1S/C8H7N/c1-2-4-8-7(3-1)5-6-9-8/h1-6,9H	SIKJAQJRHWYJAI-UHFFFAOYSA-N	117.15099999999997
Schrodinger_fragment_96	Cn1ccc2ccccc21	InChI=1S/C9H9N/c1-10-7-6-8-4-2-3-5-9(8)10/h2-7H,1H3	BLRHMMGNCXNXJL-UHFFFAOYSA-N	131.17799999999997
Schrodinger_fragment_97	c1cnccn1	InChI=1S/C4H4N2/c1-2-6-4-3-5-1/h1-4H	KYQCOXFCLRTKLS-UHFFFAOYSA-N	80.09
Schrodinger_fragment_98	c1cncnc1	InChI=1S/C4H4N2/c1-2-5-4-6-3-1/h1-4H	CZPWVGJYEJSRLH-UHFFFAOYSA-N	80.08999999999997
Schrodinger_fragment_99	c1ccnnc1	InChI=1S/C4H4N2/c1-2-4-6-5-3-1/h1-4H	PBMFSQRYOILNGV-UHFFFAOYSA-N	80.08999999999997
